예보시각,강수확률(%),강수형태,하늘상태,기온(°C),풍속(m/s),datetime,demand_forecast
2025-06-06 13:00:00,0,0,1,27,6.2,2025-06-06 13:00:00,45865.0
2025-06-06 14:00:00,0,0,1,27,6.2,2025-06-06 14:00:00,47885.0
2025-06-06 15:00:00,0,0,1,27,6.4,2025-06-06 15:00:00,49615.0
2025-06-06 16:00:00,0,0,1,27,5.9,2025-06-06 16:00:00,51346.0
2025-06-06 17:00:00,0,0,1,26,6.0,2025-06-06 17:00:00,53942.0
2025-06-06 18:00:00,0,0,1,25,5.3,2025-06-06 18:00:00,56250.0
2025-06-06 19:00:00,0,0,1,25,4.3,2025-06-06 19:00:00,58173.0
2025-06-06 20:00:00,0,0,1,23,3.4,2025-06-06 20:00:00,59519.0
2025-06-06 21:00:00,0,0,1,22,3.0,2025-06-06 21:00:00,59519.0
2025-06-06 22:00:00,0,0,1,21,3.0,2025-06-06 22:00:00,58077.0
2025-06-06 23:00:00,0,0,1,21,3.0,2025-06-06 23:00:00,56827.0
2025-06-07 00:00:00,0,0,1,21,2.7,2025-06-07 00:00:00,55096.0
2025-06-07 03:00:00,0,0,1,20,1.0,2025-06-07 03:00:00,49904.0
2025-06-07 06:00:00,20,0,3,20,1.0,2025-06-07 06:00:00,49231.0
2025-06-07 09:00:00,20,0,3,23,1.0,2025-06-07 09:00:00,48558.0
2025-06-07 12:00:00,20,0,3,25,1.0,2025-06-07 12:00:00,47212.0
2025-06-07 15:00:00,0,0,1,26,1.0,2025-06-07 15:00:00,48654.0
2025-06-07 18:00:00,0,0,1,24,1.0,2025-06-07 18:00:00,55000.0
2025-06-07 21:00:00,0,0,1,22,1.0,2025-06-07 21:00:00,58173.0
2025-06-08 00:00:00,0,0,1,20,1.0,2025-06-08 00:00:00,53846.0
