datetime,기온(°C),강수량(mm),풍속(m/s),습도(%),일조(hr),일사(MJ/m2),태양광발전량(MWh),풍력발전량(MWh),전력수요(MWh),출력제한량,출력제한여부,풍속_증감량,일사_예측오차대응,시간대,전력수요_증감,전력수요_기준편차,발생예측,전일_출력제한량,출력제한_변화율,전일_태양광,전일_풍력,출력비율,예측출력제한량
2022-02-01 16:00:00,6.775,0.0,6.45,51.75,0.675,0.835,55.89,197.02,525066.0,6.5,1,-1.2000000000000002,-55.055,16.0,26028.0,-21900.0,1,32.4,-0.7993827135821521,100.96,170.91,0.0257008421866668,7.539822
2022-02-03 13:00:00,7.125,0.0,5.35,52.75,0.775,1.625,170.63,115.7,623742.0,62.5,1,0.5749999999999993,-169.005,13.0,-71582.0,74031.33333333337,1,0.0,625000000.0,209.93,93.37,0.2182796073697203,62.328213
2022-02-03 14:00:00,6.775,0.0,5.075,52.75,0.825,1.435,100.05,141.75,666530.0,17.5,1,-0.2749999999999994,-98.615,14.0,42788.0,-4664.666666666628,1,62.5,-0.719999998848,170.63,115.7,0.072373862666512,16.720177
2022-02-10 13:00:00,8.4,0.0,4.8,53.25,0.9,2.49,223.31,158.36,596067.0,35.2,1,0.4500000000000002,-220.82,13.0,-75962.0,75397.0,1,0.0,352000000.00000006,228.53,118.23,0.0922262687420477,30.355137
2022-02-10 14:00:00,8.7,0.0,5.0,54.75,0.95,2.33,193.28,167.01,601928.0,3.0,1,0.2000000000000001,-190.95,14.0,5861.0,21413.33333333337,1,35.2,-0.9147727246739412,223.31,158.36,0.0083266257713712,7.686427
2022-02-15 11:00:00,5.725,0.0,6.55,57.25,0.825,1.21,191.99,129.94,726053.0,1.8,1,0.75,-190.78,11.0,-45092.0,64446.33333333337,1,0.0,18000000.0,143.13,190.21,0.0055912776051963,6.625417
2022-02-15 12:00:00,6.3,0.0,6.375,55.75,0.875,1.795,178.95,133.13,668073.0,59.6,1,-0.1749999999999998,-177.155,12.0,-57980.0,53684.0,1,1.8,32.11110932716059,191.99,129.94,0.1909766725868441,55.72217
2022-02-15 13:00:00,5.875,0.0,6.925,57.0,0.8,1.535,176.24,126.19,661898.0,57.3,1,0.5499999999999998,-174.705,13.0,-6175.0,23443.33333333337,1,59.6,-0.0385906039620963,178.95,133.13,0.1894653307577074,54.132095
2022-02-15 14:00:00,6.3,0.0,6.875,57.0,0.675,1.335,127.35,169.71,672504.0,63.4,1,-0.0499999999999998,-126.015,14.0,10606.0,-5012.333333333372,1,57.3,0.1064572423971078,176.24,126.19,0.2134248972552935,59.71711
2022-02-23 14:00:00,3.175,0.0,5.525,59.0,0.575,0.975,150.67,188.78,755006.0,16.8,1,0.0750000000000001,-149.695,14.0,-16130.0,31602.0,1,0.0,168000000.0,166.98,182.83,0.0494918249964672,16.882406
