datetime,기온(°C),강수량(mm),풍속(m/s),습도(%),일조(hr),일사(MJ/m2),태양광발전량(MWh),풍력발전량(MWh),전력수요(MWh),출력제한량,출력제한여부,풍속_증감량,일사_예측오차대응,시간대,전력수요_증감,전력수요_기준편차,발생예측,예측출력제한량
2022-02-10 11:00:00,7.05,0.0,4.25,60.0,0.45,1.68,167.58,156.18,746296.0,0.0,0,0.5249999999999999,-165.9,11.0,-78792.0,72673.33333333337,1,24.017214
2022-02-10 12:00:00,7.825,0.0,4.35,55.5,0.6,2.325,228.53,118.23,672029.0,0.0,0,0.0999999999999996,-226.205,12.0,-74267.0,75775.33333333337,1,43.22949
2022-02-10 13:00:00,8.4,0.0,4.8,53.25,0.9,2.49,223.31,158.36,596067.0,35.2,1,0.4500000000000002,-220.82,13.0,-75962.0,75397.0,1,49.66406
2022-02-10 14:00:00,8.7,0.0,5.0,54.75,0.95,2.33,193.28,167.01,601928.0,3.0,1,0.2000000000000001,-190.95,14.0,5861.0,21413.33333333337,1,48.229885
2022-02-10 15:00:00,8.425,0.0,5.35,54.75,0.75,2.055,149.9,169.75,631312.0,0.0,0,0.3499999999999996,-147.845,15.0,29384.0,-21543.0,1,47.532238
2022-02-10 16:00:00,8.475,0.0,5.15,54.5,0.775,1.26,85.57,163.9,676922.0,0.0,0,-0.1999999999999993,-84.30999999999999,16.0,45610.0,-40201.33333333337,1,36.30469
2022-02-15 11:00:00,5.725,0.0,6.55,57.25,0.825,1.21,191.99,129.94,726053.0,1.8,1,0.75,-190.78,11.0,-45092.0,64446.33333333337,1,74.58535
2022-02-15 12:00:00,6.3,0.0,6.375,55.75,0.875,1.795,178.95,133.13,668073.0,59.6,1,-0.1749999999999998,-177.155,12.0,-57980.0,53684.0,1,73.94547
2022-02-15 13:00:00,5.875,0.0,6.925,57.0,0.8,1.535,176.24,126.19,661898.0,57.3,1,0.5499999999999998,-174.705,13.0,-6175.0,23443.33333333337,1,81.80314
2022-02-15 14:00:00,6.3,0.0,6.875,57.0,0.675,1.335,127.35,169.71,672504.0,63.4,1,-0.0499999999999998,-126.015,14.0,10606.0,-5012.333333333372,1,66.745705
2022-02-15 15:00:00,5.65,0.0,7.3,53.75,0.55,0.955,97.1,180.17,715047.0,0.0,0,0.4249999999999998,-96.145,15.0,42543.0,-31897.33333333337,1,67.84477
2022-02-23 14:00:00,3.175,0.0,5.525,59.0,0.575,0.975,150.67,188.78,755006.0,16.8,1,0.0750000000000001,-149.695,14.0,-16130.0,31602.0,1,38.67899
2022-02-27 11:00:00,9.325,0.0,3.2,40.75,1.0,2.31,239.52,28.25,506043.0,0.0,0,-0.1999999999999997,-237.21,11.0,-44687.0,65958.33333333337,1,45.047726
2022-02-27 12:00:00,9.95,0.0,3.6,36.5,1.0,2.795,254.04,5.69,465414.0,11.8,1,0.3999999999999999,-251.245,12.0,-40629.0,41981.666666666686,1,58.105965
2022-02-27 13:00:00,10.5,0.0,4.025,35.75,1.0,3.025,253.07,4.12,442199.0,41.2,1,0.4250000000000002,-250.045,13.0,-23215.0,29019.66666666669,1,66.60135
2022-02-27 14:00:00,10.95,0.0,4.125,39.0,1.0,2.965,233.12,8.83,439656.0,41.2,1,0.0999999999999996,-230.155,14.0,-2543.0,9433.666666666686,1,64.641785
2022-02-27 15:00:00,11.075,0.0,3.9,35.25,1.0,2.64,191.1,36.89,453495.0,37.7,1,-0.2250000000000001,-188.46,15.0,13839.0,-8378.333333333314,1,56.64293
2022-02-27 16:00:00,11.05,0.0,4.075,37.25,1.0,2.085,127.17,46.22,496434.0,4.9,1,0.1750000000000002,-125.085,16.0,42939.0,-33239.0,1,52.596355
2022-03-02 10:00:00,6.975,0.0,5.45,58.25,0.75,0.96,176.56,188.04,710050.0,0.0,0,-0.7249999999999996,-175.6,10.0,-73693.0,67490.0,1,41.67441
2022-03-02 11:00:00,7.525,0.0,6.35,55.5,0.775,1.4,217.34,170.13,678195.0,0.0,0,0.8999999999999995,-215.94,11.0,-31855.0,45801.0,1,67.69865
2022-03-02 12:00:00,8.65,0.0,6.1,53.0,0.875,2.255,235.73,148.26,625779.0,0.0,0,-0.25,-233.475,12.0,-52416.0,45562.33333333337,1,74.74315
