일자,횟수,1시간,2시간,3시간,4시간,5시간,6시간,7시간,8시간,9시간,10시간,11시간,12시간,13시간,14시간,15시간,16시간,17시간,18시간,19시간,20시간,21시간,22시간,23시간,24시간,총제어량
2024-04-01,26,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3
2024-04-07,27,0,0,0,0,0,0,0,0,0,1,3,6,6,6,5,0,0,0,0,0,0,0,0,0,25
2024-04-10,28,0,0,0,0,0,0,0,0,0,0,0,7,15,21,7,0,0,0,0,0,0,0,0,0,49
2024-04-14,29,0,0,0,0,0,0,0,0,0,0,9,12,1,0,0,0,0,0,0,0,0,0,0,0,23
2024-04-16,30,0,0,0,0,0,0,0,0,0,0,0,1,3,3,2,0,0,0,0,0,0,0,0,0,9
2024-04-18,31,0,0,0,0,0,0,0,0,4,1,42,62,70,70,52,7,0,0,0,0,0,0,0,0,306
2024-04-24,32,0,0,0,0,0,0,0,0,0,1,68,109,113,43,0,0,0,0,0,0,0,0,0,0,333
2024-04-25,33,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,4
2024-04-27,34,0,0,0,0,0,0,0,0,0,0,6,11,11,11,12,0,0,0,0,0,0,0,0,0,50
2024-05-02,35,0,0,0,0,0,0,0,0,0,0,14,46,47,47,10,0,0,0,0,0,0,0,0,0,163
2024-05-03,36,0,0,0,0,0,0,0,0,0,0,2,26,26,9,0,0,0,0,0,0,0,0,0,0,64
2024-05-07,37,0,0,0,0,0,0,0,0,0,58,141,170,170,154,83,23,0,0,0,0,0,0,0,0,798
2024-05-09,38,0,0,0,0,0,0,0,0,0,0,0,1,2,5,1,0,0,0,0,0,0,0,0,0,10
2024-05-10,39,0,0,0,0,0,0,0,0,0,0,3,17,35,32,16,1,0,0,0,0,0,0,0,0,104
2024-05-11,40,0,0,0,0,0,0,0,0,0,0,9,5,23,0,0,0,0,0,0,0,0,0,0,0,37
2024-05-13,41,0,0,0,0,0,0,0,0,0,0,2,20,16,15,15,0,0,0,0,0,0,0,0,0,68
2024-05-15,42,0,0,0,0,0,0,0,0,0,0,24,29,47,63,59,0,0,0,0,0,0,0,0,0,222
2024-05-16,43,0,0,0,0,0,0,0,0,3,57,114,153,154,154,136,57,0,0,0,0,0,0,0,0,827
2024-05-17,44,0,0,0,0,0,0,0,0,0,50,83,79,87,92,87,17,0,0,0,0,0,0,0,0,496
2024-05-18,45,0,0,0,0,0,0,0,0,0,0,6,18,25,25,17,3,0,0,0,0,0,0,0,0,95
2024-05-19,46,0,0,0,0,0,0,0,0,0,0,0,3,8,8,5,0,0,0,0,0,0,0,0,0,25
2024-05-24,47,0,0,0,0,0,0,0,0,0,0,0,10,37,35,4,0,0,0,0,0,0,0,0,0,85
2024-05-25,48,0,0,0,0,0,0,0,0,0,0,0,10,19,19,17,0,0,0,0,0,0,0,0,0,65
2024-05-27,49,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,10
2024-05-28,50,0,0,0,0,0,0,0,0,0,14,68,113,123,123,46,2,0,0,0,0,0,0,0,0,490
2024-05-30,51,0,0,0,0,0,0,0,0,0,0,0,3,8,0,0,0,0,0,0,0,0,0,0,0,10
